financial_year,state,area_of_expenditure,broad_source_of_funding,detailed_source_of_funding,real_expenditure_millions
1999-00,NT,Research,Government,Australian Government,8
1999-00,NT,Research,Government,State and local,3
2000-01,NSW,Administration,Government,Australian Government,485
2000-01,NSW,Administration,Government,State and local,91
2000-01,NSW,Aids and appliances,Government,Australian Government,71
2000-01,NSW,All other medications,Government,Australian Government,37
2000-01,NSW,Benefit-paid pharmaceuticals,Government,Australian Government,1557
2000-01,NSW,Capital expenditure,Government,Australian Government,34
2000-01,NSW,Capital expenditure,Government,State and local,501
2000-01,NSW,Community health,Government,Australian Government,92
2000-01,NSW,Community health,Government,State and local,1148
2000-01,NSW,Dental services,Government,Australian Government,177
2000-01,NSW,Dental services,Government,State and local,107
2000-01,NSW,Medical expense tax rebate,Government,Australian Government,109
2000-01,NSW,Medical services,Government,Australian Government,4486
2000-01,NSW,Other health practitioners,Government,Australian Government,268
2000-01,NSW,Patient transport services,Government,Australian Government,68
2000-01,NSW,Patient transport services,Government,State and local,168
2000-01,NSW,Private hospitals,Government,Australian Government,684
2000-01,NSW,Public health,Government,Australian Government,202
2000-01,NSW,Public health,Government,State and local,219
2000-01,NSW,Public hospitals,Government,Australian Government,3704
2000-01,NSW,Public hospitals,Government,State and local,3772
2000-01,NSW,Research,Government,Australian Government,358
2000-01,NSW,Research,Government,State and local,63
2000-01,VIC,Administration,Government,Australian Government,318
2000-01,VIC,Administration,Government,State and local,68
2000-01,VIC,Aids and appliances,Government,Australian Government,38
2000-01,VIC,All other medications,Government,Australian Government,22
2000-01,VIC,Benefit-paid pharmaceuticals,Government,Australian Government,1115
2000-01,VIC,Capital expenditure,Government,Australian Government,22
2000-01,VIC,Capital expenditure,Government,State and local,334
2000-01,VIC,Community health,Government,Australian Government,23
2000-01,VIC,Community health,Government,State and local,579
2000-01,VIC,Dental services,Government,Australian Government,80
2000-01,VIC,Dental services,Government,State and local,96
2000-01,VIC,Medical expense tax rebate,Government,Australian Government,68
2000-01,VIC,Medical services,Government,Australian Government,3150
2000-01,VIC,Other health practitioners,Government,Australian Government,176
2000-01,VIC,Patient transport services,Government,Australian Government,18
2000-01,VIC,Patient transport services,Government,State and local,144
2000-01,VIC,Private hospitals,Government,Australian Government,570
2000-01,VIC,Public health,Government,Australian Government,128
2000-01,VIC,Public health,Government,State and local,210
2000-01,VIC,Public hospitals,Government,Australian Government,2505
2000-01,VIC,Public hospitals,Government,State and local,2595
2000-01,VIC,Research,Government,Australian Government,401
2000-01,VIC,Research,Government,State and local,127
2000-01,QLD,Administration,Government,Australian Government,262
2000-01,QLD,Administration,Government,State and local,110
2000-01,QLD,Aids and appliances,Government,Australian Government,35
2000-01,QLD,All other medications,Government,Australian Government,19
2000-01,QLD,Benefit-paid pharmaceuticals,Government,Australian Government,781
2000-01,QLD,Capital expenditure,Government,Australian Government,49
2000-01,QLD,Capital expenditure,Government,State and local,640
2000-01,QLD,Community health,Government,Australian Government,83
2000-01,QLD,Community health,Government,State and local,1229
2000-01,QLD,Dental services,Government,Australian Government,88
2000-01,QLD,Dental services,Government,State and local,155
2000-01,QLD,Medical expense tax rebate,Government,Australian Government,40
2000-01,QLD,Medical services,Government,Australian Government,2333
2000-01,QLD,Other health practitioners,Government,Australian Government,149
2000-01,QLD,Patient transport services,Government,Australian Government,23
2000-01,QLD,Patient transport services,Government,State and local,229
2000-01,QLD,Private hospitals,Government,Australian Government,569
2000-01,QLD,Public health,Government,Australian Government,110
2000-01,QLD,Public health,Government,State and local,122
2000-01,QLD,Public hospitals,Government,Australian Government,1883
2000-01,QLD,Public hospitals,Government,State and local,1830
2000-01,QLD,Research,Government,Australian Government,182
2000-01,QLD,Research,Government,State and local,27
2000-01,WA,Administration,Government,Australian Government,140
2000-01,WA,Administration,Government,State and local,122
2000-01,WA,Aids and appliances,Government,Australian Government,21
2000-01,WA,All other medications,Government,Australian Government,10
2000-01,WA,Benefit-paid pharmaceuticals,Government,Australian Government,379
2000-01,WA,Capital expenditure,Government,Australian Government,11
2000-01,WA,Capital expenditure,Government,State and local,0
2000-01,WA,Community health,Government,Australian Government,59
2000-01,WA,Community health,Government,State and local,311
2000-01,WA,Dental services,Government,Australian Government,63
2000-01,WA,Dental services,Government,State and local,64
2000-01,WA,Medical expense tax rebate,Government,Australian Government,19
2000-01,WA,Medical services,Government,Australian Government,1156
2000-01,WA,Other health practitioners,Government,Australian Government,75
2000-01,WA,Patient transport services,Government,Australian Government,21
2000-01,WA,Patient transport services,Government,State and local,39
2000-01,WA,Private hospitals,Government,Australian Government,239
2000-01,WA,Public health,Government,Australian Government,57
2000-01,WA,Public health,Government,State and local,90
2000-01,WA,Public hospitals,Government,Australian Government,973
2000-01,WA,Public hospitals,Government,State and local,1119
2000-01,WA,Research,Government,Australian Government,120
2000-01,WA,Research,Government,State and local,19
2000-01,SA,Administration,Government,Australian Government,124
2000-01,SA,Administration,Government,State and local,13
2000-01,SA,Aids and appliances,Government,Australian Government,16
2000-01,SA,All other medications,Government,Australian Government,9
2000-01,SA,Benefit-paid pharmaceuticals,Government,Australian Government,378
2000-01,SA,Capital expenditure,Government,Australian Government,11
2000-01,SA,Capital expenditure,Government,State and local,0
2000-01,SA,Community health,Government,Australian Government,23
2000-01,SA,Community health,Government,State and local,243
2000-01,SA,Dental services,Government,Australian Government,44
2000-01,SA,Dental services,Government,State and local,49
2000-01,SA,Medical expense tax rebate,Government,Australian Government,13
2000-01,SA,Medical services,Government,Australian Government,969
2000-01,SA,Other health practitioners,Government,Australian Government,66
2000-01,SA,Patient transport services,Government,Australian Government,12
2000-01,SA,Patient transport services,Government,State and local,53
2000-01,SA,Private hospitals,Government,Australian Government,172
2000-01,SA,Public health,Government,Australian Government,49
2000-01,SA,Public health,Government,State and local,79
2000-01,SA,Public hospitals,Government,Australian Government,948
2000-01,SA,Public hospitals,Government,State and local,852
2000-01,SA,Research,Government,Australian Government,137
2000-01,SA,Research,Government,State and local,20
2000-01,TAS,Administration,Government,Australian Government,40
2000-01,TAS,Administration,Government,State and local,24
2000-01,TAS,Aids and appliances,Government,Australian Government,5
2000-01,TAS,All other medications,Government,Australian Government,4
2000-01,TAS,Benefit-paid pharmaceuticals,Government,Australian Government,121
2000-01,TAS,Capital expenditure,Government,Australian Government,5
2000-01,TAS,Capital expenditure,Government,State and local,0
2000-01,TAS,Community health,Government,Australian Government,10
2000-01,TAS,Community health,Government,State and local,136
2000-01,TAS,Dental services,Government,Australian Government,10
2000-01,TAS,Dental services,Government,State and local,14
2000-01,TAS,Medical expense tax rebate,Government,Australian Government,3
2000-01,TAS,Medical services,Government,Australian Government,283
2000-01,TAS,Other health practitioners,Government,Australian Government,20
2000-01,TAS,Patient transport services,Government,Australian Government,3
2000-01,TAS,Patient transport services,Government,State and local,30
2000-01,TAS,Private hospitals,Government,Australian Government,71
2000-01,TAS,Public health,Government,Australian Government,21
2000-01,TAS,Public health,Government,State and local,25
2000-01,TAS,Public hospitals,Government,Australian Government,226
2000-01,TAS,Public hospitals,Government,State and local,232
2000-01,TAS,Research,Government,Australian Government,30
2000-01,TAS,Research,Government,State and local,6
2000-01,ACT,Administration,Government,Australian Government,65
2000-01,ACT,Administration,Government,State and local,21
2000-01,ACT,Aids and appliances,Government,Australian Government,2
2000-01,ACT,All other medications,Government,Australian Government,2
2000-01,ACT,Benefit-paid pharmaceuticals,Government,Australian Government,55
2000-01,ACT,Capital expenditure,Government,Australian Government,3
